split,file,lpips
train,1029.tif,0.319279
train,10290.tif,0.329409
train,10291.tif,0.358112
train,10292.tif,0.439902
train,10293.tif,0.361063
train,10294.tif,0.270583
train,10295.tif,0.317749
train,10296.tif,0.43853
train,10297.tif,0.340463
train,10298.tif,0.398316
train,10299.tif,0.335558
train,103.tif,0.374916
train,1030.tif,0.332188
train,10300.tif,0.403786
train,10301.tif,0.346988
train,10302.tif,0.384065
train,10303.tif,0.277948
train,10304.tif,0.367203
train,10305.tif,0.312603
train,10306.tif,0.365967
train,10307.tif,0.409083
train,10308.tif,0.286308
train,10309.tif,0.30991
train,1031.tif,0.332432
train,10310.tif,0.316977
train,10311.tif,0.432099
train,10312.tif,0.228968
train,10313.tif,0.286966
train,10314.tif,0.264673
train,10315.tif,0.39158
train,10316.tif,0.357171
train,10317.tif,0.396332
train,10318.tif,0.35597
train,10319.tif,0.399313
train,1032.tif,0.346991
train,10320.tif,0.379311
train,10321.tif,0.323205
train,10322.tif,0.318596
train,10323.tif,0.284153
train,10324.tif,0.405814
train,10325.tif,0.268869
train,10326.tif,0.439436
train,10327.tif,0.367998
train,10328.tif,0.400174
train,10329.tif,0.389623
train,1033.tif,0.349672
train,10330.tif,0.36832
train,10331.tif,0.384812
train,10332.tif,0.254704
train,10333.tif,0.383058
train,10334.tif,0.325707
train,10335.tif,0.326387
train,10336.tif,0.3628
train,10337.tif,0.365346
train,10338.tif,0.322159
train,10339.tif,0.356025
train,1034.tif,0.279934
train,10340.tif,0.321413
train,10341.tif,0.361813
train,10342.tif,0.287045
train,10343.tif,0.393907
train,10344.tif,0.384853
train,10345.tif,0.288435
train,10346.tif,0.367965
train,10347.tif,0.265633
train,10348.tif,0.305261
train,10349.tif,0.331859
train,1035.tif,0.330948
train,10350.tif,0.286116
train,10351.tif,0.333485
train,10352.tif,0.335539
train,10353.tif,0.386775
train,10354.tif,0.614076
train,10355.tif,0.358829
train,10356.tif,0.317981
train,10357.tif,0.252095
train,10358.tif,0.293512
train,10359.tif,0.409019
train,1036.tif,0.347166
train,10360.tif,0.341447
train,10361.tif,0.331922
train,10362.tif,0.288213
train,10363.tif,0.29462
train,10364.tif,0.327659
train,10365.tif,0.297333
train,10366.tif,0.42795
train,10367.tif,0.37343
train,10368.tif,0.378809
train,10369.tif,0.296741
train,1037.tif,0.362829
train,10370.tif,0.282335
train,10371.tif,0.272728
train,10372.tif,0.307102
train,10373.tif,0.274521
train,10374.tif,0.285396
train,10375.tif,0.327361
train,10376.tif,0.308746
train,10377.tif,0.305224
train,10378.tif,0.285589
train,10379.tif,0.382137
train,1038.tif,0.365349
train,10380.tif,0.367004
train,10381.tif,0.313846
train,10382.tif,0.338782
train,10383.tif,0.334393
train,10384.tif,0.300252
train,10385.tif,0.32435
train,10386.tif,0.293643
train,10387.tif,0.360928
train,10388.tif,0.315073
train,10389.tif,0.471848
train,1039.tif,0.32726
train,10390.tif,0.355903
train,10391.tif,0.402149
train,10392.tif,0.335751
train,10393.tif,0.290097
train,10394.tif,0.316023
train,10395.tif,0.34604
train,10396.tif,0.277165
train,10397.tif,0.303464
train,10398.tif,0.313841
train,10399.tif,0.263683
train,104.tif,0.306696
train,1040.tif,0.334854
train,10400.tif,0.325821
train,10401.tif,0.299615
train,10402.tif,0.400058
train,10403.tif,0.322962
train,10404.tif,0.29131
train,10405.tif,0.347593
train,10406.tif,0.313091
train,10407.tif,0.28691
train,10408.tif,0.279245
train,10409.tif,0.307844
train,1041.tif,0.339843
train,10410.tif,0.339391
train,10411.tif,0.256219
train,10412.tif,0.334879
train,10413.tif,0.293899
train,10414.tif,0.293721
train,10415.tif,0.297604
train,10416.tif,0.31847
train,10417.tif,0.312703
train,10418.tif,0.316912
train,10419.tif,0.371458
train,1042.tif,0.416825
train,10420.tif,0.387581
train,10421.tif,0.261543
train,10422.tif,0.309707
train,10423.tif,0.411897
train,10424.tif,0.323376
train,10425.tif,0.373064
train,10426.tif,0.316758
train,10427.tif,0.335227
train,10428.tif,0.294515
train,10429.tif,0.298121
train,1043.tif,0.335902
train,10430.tif,0.300878
train,10431.tif,0.344357
train,10432.tif,0.284451
train,10433.tif,0.329947
train,10434.tif,0.279572
train,10435.tif,0.319284
train,10436.tif,0.391518
train,10437.tif,0.377314
train,10438.tif,0.315942
train,10439.tif,0.305376
train,1044.tif,0.453896
train,10440.tif,0.298704
train,10441.tif,0.40255
train,10442.tif,0.326866
train,10443.tif,0.366316
train,10444.tif,0.331032
train,10445.tif,0.34479
train,10446.tif,0.383828
train,10447.tif,0.288013
train,10448.tif,0.39815
train,10449.tif,0.298841
train,1045.tif,0.368416
train,10450.tif,0.368175
train,10451.tif,0.383175
train,10452.tif,0.310607
train,10453.tif,0.285419
train,10454.tif,0.341714
train,10455.tif,0.342768
train,10456.tif,0.260181
train,10457.tif,0.331325
train,10458.tif,0.343002
train,10459.tif,0.306814
train,1046.tif,0.269202
train,10460.tif,0.314085
train,10461.tif,0.299711
train,10462.tif,0.307216
train,10463.tif,0.310074
train,10464.tif,0.345212
train,10465.tif,0.31719
train,10466.tif,0.335494
train,10467.tif,0.277759
train,10468.tif,0.327124
train,10469.tif,0.29195
train,1047.tif,0.423629
train,10470.tif,0.337547
train,10471.tif,0.379062
train,10472.tif,0.303555
train,10473.tif,0.319959
train,10474.tif,0.34303
train,10475.tif,0.321364
train,10476.tif,0.311943
train,10477.tif,0.309378
train,10478.tif,0.345536
train,10479.tif,0.315637
train,1048.tif,0.350295
train,10480.tif,0.389061
train,10481.tif,0.282688
train,10482.tif,0.294065
train,10483.tif,0.341089
train,10484.tif,0.341291
train,10485.tif,0.300921
train,10486.tif,0.373732
train,10487.tif,0.305046
train,10488.tif,0.318505
train,10489.tif,0.3048
train,1049.tif,0.404661
train,10490.tif,0.361809
train,10491.tif,0.333762
train,10492.tif,0.361695
train,10493.tif,0.29322
train,10494.tif,0.301217
train,10495.tif,0.353038
train,10496.tif,0.3041
train,10497.tif,0.297788
train,10498.tif,0.317043
train,10499.tif,0.288474
train,105.tif,0.359815
train,1050.tif,0.364673
train,10500.tif,0.295964
train,10501.tif,0.295813
train,10502.tif,0.319396
train,10503.tif,0.310507
train,10504.tif,0.341721
train,10505.tif,0.324192
train,10506.tif,0.305218
train,10507.tif,0.308583
train,10508.tif,0.326945
train,10509.tif,0.312151
train,1051.tif,0.376629
train,10510.tif,0.339931
train,10511.tif,0.341756
train,10512.tif,0.322168
train,10513.tif,0.382902
train,10514.tif,0.308679
train,10515.tif,0.310291
train,10516.tif,0.3392
train,10517.tif,0.303445
train,10518.tif,0.31257
train,10519.tif,0.304844
train,1052.tif,0.365976
train,10520.tif,0.273241
train,10521.tif,0.347535
train,10522.tif,0.319278
train,10523.tif,0.319233
train,10524.tif,0.327673
train,10525.tif,0.195546
train,10526.tif,0.291335
train,10527.tif,0.301122
train,10528.tif,0.358184
train,10529.tif,0.485372
train,1053.tif,0.344249
train,10530.tif,0.351861
train,10531.tif,0.36581
train,10532.tif,0.293617
train,10533.tif,0.341159
train,10534.tif,0.351748
train,10535.tif,0.351991
train,10536.tif,0.313929
train,10537.tif,0.370071
train,10538.tif,0.438285
train,10539.tif,0.325962
train,1054.tif,0.28509
train,10540.tif,0.335321
train,10541.tif,0.315868
train,10542.tif,0.317778
train,10543.tif,0.307515
train,10544.tif,0.273742
train,10545.tif,0.249887
train,10546.tif,0.361021
train,10547.tif,0.351859
train,10548.tif,0.302235
train,10549.tif,0.381801
train,1055.tif,0.364265
train,10550.tif,0.295748
train,10551.tif,0.315863
train,10552.tif,0.315904
train,10553.tif,0.323574
train,10554.tif,0.381343
train,10555.tif,0.308623
train,10556.tif,0.267613
train,10557.tif,0.340619
train,10558.tif,0.288607
train,10559.tif,0.339646
train,1056.tif,0.448497
train,10560.tif,0.372448
train,10561.tif,0.32718
train,10562.tif,0.29755
train,10563.tif,0.305502
train,10564.tif,0.302049
train,10565.tif,0.329481
train,10566.tif,0.328892
train,10567.tif,0.26526
train,10568.tif,0.334581
train,10569.tif,0.31551
train,1057.tif,0.384255
train,10570.tif,0.336167
train,10571.tif,0.308654
train,10572.tif,0.279654
train,10573.tif,0.350953
train,10574.tif,0.360305
train,10575.tif,0.280484
train,10576.tif,0.388933
train,10577.tif,0.352319
train,10578.tif,0.308921
train,10579.tif,0.28774
train,1058.tif,0.351127
train,10580.tif,0.3128
train,10581.tif,0.322232
train,10582.tif,0.307648
train,10583.tif,0.327332
train,10584.tif,0.295427
train,10585.tif,0.348711
train,10586.tif,0.28323
train,10587.tif,0.306578
train,10588.tif,0.345874
train,10589.tif,0.373126
train,1059.tif,0.341131
train,10590.tif,0.30244
train,10591.tif,0.43058
train,10592.tif,0.326919
train,10593.tif,0.403541
train,10594.tif,0.28429
train,10595.tif,0.388
train,10596.tif,0.389131
train,10597.tif,0.381997
train,10598.tif,0.375046
train,10599.tif,0.347547
train,106.tif,0.364459
train,1060.tif,0.402221
train,10600.tif,0.322599
train,10601.tif,0.342358
train,10602.tif,0.292241
train,10603.tif,0.335974
train,10604.tif,0.337099
train,10605.tif,0.299127
train,10606.tif,0.306017
train,10607.tif,0.295824
train,10608.tif,0.28078
train,10609.tif,0.336067
train,1061.tif,0.399446
train,10610.tif,0.328047
train,10611.tif,0.431299
train,10612.tif,0.299617
train,10613.tif,0.32948
train,10614.tif,0.314691
train,10615.tif,0.341998
train,10616.tif,0.323674
train,10617.tif,0.302542
train,10618.tif,0.237431
train,10619.tif,0.361911
train,1062.tif,0.426941
train,10620.tif,0.2671
train,10621.tif,0.33162
train,10622.tif,0.353611
train,10623.tif,0.331982
train,10624.tif,0.335214
train,10625.tif,0.328462
train,10626.tif,0.318277
train,10627.tif,0.334939
train,10628.tif,0.289492
train,10629.tif,0.328025
train,1063.tif,0.383642
train,10630.tif,0.322054
train,10631.tif,0.407425
train,10632.tif,0.30967
train,10633.tif,0.386988
train,10634.tif,0.258958
train,10635.tif,0.271672
train,10636.tif,0.271119
train,10637.tif,0.295463
train,10638.tif,0.324482
train,10639.tif,0.33712
train,1064.tif,0.246148
train,10640.tif,0.369314
train,10641.tif,0.257874
train,10642.tif,0.406518
train,10643.tif,0.272168
train,10644.tif,0.398883
train,10645.tif,0.317058
train,10646.tif,0.338777
train,10647.tif,0.317985
train,10648.tif,0.29969
train,10649.tif,0.393734
train,1065.tif,0.395687
train,10650.tif,0.346959
train,10651.tif,0.378978
train,10652.tif,0.301911
train,10653.tif,0.322201
train,10654.tif,0.350075
train,10655.tif,0.352149
train,10656.tif,0.296235
train,10657.tif,0.356852
train,10658.tif,0.372453
train,10659.tif,0.339622
train,1066.tif,0.325118
train,10660.tif,0.316313
train,10661.tif,0.3457
train,10662.tif,0.348573
train,10663.tif,0.341331
train,10664.tif,0.322807
train,10665.tif,0.342096
train,10666.tif,0.334041
train,10667.tif,0.330046
train,10668.tif,0.311247
train,10669.tif,0.315823
train,1067.tif,0.35229
train,10670.tif,0.279532
train,10671.tif,0.283751
train,10672.tif,0.279049
train,10673.tif,0.261134
train,10674.tif,0.308426
train,10675.tif,0.283381
train,10676.tif,0.223941
train,10677.tif,0.303437
train,10678.tif,0.385763
train,10679.tif,0.345278
train,1068.tif,0.369194
train,10680.tif,0.310666
train,10681.tif,0.291166
train,10682.tif,0.270731
train,10683.tif,0.331109
train,10684.tif,0.296781
train,10685.tif,0.372807
train,10686.tif,0.404575
train,10687.tif,0.364082
train,10688.tif,0.301419
train,10689.tif,0.337678
train,1069.tif,0.341801
train,10690.tif,0.379899
train,10691.tif,0.293842
train,10692.tif,0.302972
train,10693.tif,0.320141
train,10694.tif,0.360037
train,10695.tif,0.298636
train,10696.tif,0.306584
train,10697.tif,0.292165
train,10698.tif,0.320598
train,10699.tif,0.310755
train,107.tif,0.426236
train,1070.tif,0.294507
train,10700.tif,0.282747
train,10701.tif,0.330804
train,10702.tif,0.249552
train,10703.tif,0.332466
train,10704.tif,0.290096
train,10705.tif,0.350433
train,10706.tif,0.340319
train,10707.tif,0.330389
train,10708.tif,0.272377
train,10709.tif,0.349641
train,1071.tif,0.356809
train,10710.tif,0.291089
train,10711.tif,0.347141
train,10712.tif,0.410276
train,10713.tif,0.385492
train,10714.tif,0.337011
train,10715.tif,0.323676
train,10716.tif,0.331404
train,10717.tif,0.305283
train,10718.tif,0.320915
train,10719.tif,0.290837
train,1072.tif,0.368475
train,10720.tif,0.282497
train,10721.tif,0.350532
train,10722.tif,0.309082
train,10723.tif,0.31007
train,10724.tif,0.357336
train,10725.tif,0.352647
train,10726.tif,0.377773
train,10727.tif,0.300858
train,10728.tif,0.316903
train,10729.tif,0.308946
train,1073.tif,0.394871
train,10730.tif,0.287511
train,10731.tif,0.282887
train,10732.tif,0.29196
