split,file,ssim,psnr
train,10409.tif,0.65458,20.4344
train,1041.tif,0.538923,17.139
train,10410.tif,0.510244,19.365
train,10411.tif,0.792762,23.1945
train,10412.tif,0.627809,21.776
train,10413.tif,0.648212,20.9432
train,10414.tif,0.640586,21.3758
train,10415.tif,0.581442,19.1141
train,10416.tif,0.552586,20.1653
train,10417.tif,0.629277,20.9916
train,10418.tif,0.593958,20.5427
train,10419.tif,0.485536,18.9235
train,1042.tif,0.489935,20.5106
train,10420.tif,0.433992,16.9255
train,10421.tif,0.68159,20.2398
train,10422.tif,0.663013,22.0212
train,10423.tif,0.54578,20.2381
train,10424.tif,0.553501,19.4724
train,10425.tif,0.422525,18.2287
train,10426.tif,0.605083,22.1094
train,10427.tif,0.583123,20.5957
train,10428.tif,0.645591,22.6849
train,10429.tif,0.607566,20.4178
train,1043.tif,0.571408,18.591
train,10430.tif,0.57657,19.7491
train,10431.tif,0.475426,17.8729
train,10432.tif,0.63669,19.8461
train,10433.tif,0.450586,17.4368
train,10434.tif,0.65753,22.0319
train,10435.tif,0.534623,20.4106
train,10436.tif,0.514537,17.6223
train,10437.tif,0.479573,17.8279
train,10438.tif,0.555141,20.4361
train,10439.tif,0.624786,20.6335
train,1044.tif,0.510181,20.2609
train,10440.tif,0.553489,20.1739
train,10441.tif,0.490865,18.2211
train,10442.tif,0.579641,21.4965
train,10443.tif,0.589884,20.6652
train,10444.tif,0.500019,19.047
train,10445.tif,0.731669,24.6693
train,10446.tif,0.602193,22.1878
train,10447.tif,0.6267,21.039
train,10448.tif,0.461909,17.5481
train,10449.tif,0.559277,19.9259
train,1045.tif,0.458401,17.3313
train,10450.tif,0.56566,20.0332
train,10451.tif,0.476272,18.91
train,10452.tif,0.551665,19.8551
train,10453.tif,0.656334,21.8197
train,10454.tif,0.54417,20.0056
train,10455.tif,0.566343,19.1363
train,10456.tif,0.659821,20.4859
train,10457.tif,0.58402,21.4081
train,10458.tif,0.568088,18.8377
train,10459.tif,0.628154,19.5031
train,1046.tif,0.750205,22.8643
train,10460.tif,0.712105,21.1629
train,10461.tif,0.539689,19.8094
train,10462.tif,0.584742,20.0124
train,10463.tif,0.627497,21.5565
train,10464.tif,0.582641,22.7828
train,10465.tif,0.572546,20.2235
train,10466.tif,0.64795,18.1669
train,10467.tif,0.651416,22.6835
train,10468.tif,0.469373,18.3764
train,10469.tif,0.62044,20.8276
train,1047.tif,0.481735,19.4227
train,10470.tif,0.562976,19.1066
train,10471.tif,0.49087,19.9683
train,10472.tif,0.582905,20.6643
train,10473.tif,0.494557,19.8097
train,10474.tif,0.595603,19.0814
train,10475.tif,0.600952,19.3241
train,10476.tif,0.538295,18.5145
train,10477.tif,0.552265,17.9892
train,10478.tif,0.517246,19.7901
train,10479.tif,0.594501,18.8908
train,1048.tif,0.505739,19.8142
train,10480.tif,0.490347,19.7728
train,10481.tif,0.592223,20.4033
train,10482.tif,0.56134,20.1393
train,10483.tif,0.607947,22.1851
train,10484.tif,0.563428,19.7812
train,10485.tif,0.657195,21.7325
train,10486.tif,0.558794,21.1372
train,10487.tif,0.613947,19.5556
train,10488.tif,0.634894,20.765
train,10489.tif,0.605416,19.1237
train,1049.tif,0.47659,17.4726
train,10490.tif,0.598441,19.3569
train,10491.tif,0.510953,19.0413
train,10492.tif,0.562751,19.5774
train,10493.tif,0.558805,20.1935
train,10494.tif,0.541866,19.5303
train,10495.tif,0.582589,20.6233
train,10496.tif,0.64652,21.3514
train,10497.tif,0.594764,19.8754
train,10498.tif,0.699693,20.4765
train,10499.tif,0.633052,18.7012
train,105.tif,0.564485,19.8731
train,1050.tif,0.490414,17.7901
train,10500.tif,0.636931,20.4979
train,10501.tif,0.611372,20.8039
train,10502.tif,0.567018,20.5759
train,10503.tif,0.645387,21.4037
train,10504.tif,0.595944,18.7162
train,10505.tif,0.565465,19.9365
train,10506.tif,0.593726,21.2534
train,10507.tif,0.621096,21.6651
train,10508.tif,0.572611,20.1521
train,10509.tif,0.45505,18.268
train,1051.tif,0.539831,20.4685
train,10510.tif,0.565733,21.8806
train,10511.tif,0.56247,20.6986
train,10512.tif,0.623413,20.7349
train,10513.tif,0.532301,17.7029
train,10514.tif,0.704529,22.8691
train,10515.tif,0.505825,19.8619
train,10516.tif,0.608115,23.2836
train,10517.tif,0.631476,20.7687
train,10518.tif,0.624659,22.0633
train,10519.tif,0.519739,19.9831
train,1052.tif,0.438039,17.8573
train,10520.tif,0.624074,20.7849
train,10521.tif,0.491285,18.565
train,10522.tif,0.570308,18.9175
train,10523.tif,0.504367,20.052
train,10524.tif,0.524001,19.4012
train,10525.tif,0.839319,21.1451
train,10526.tif,0.588957,18.5382
train,10527.tif,0.621849,21.1067
train,10528.tif,0.706225,22.5872
train,10529.tif,0.695017,22.5217
train,1053.tif,0.515277,17.8286
train,10530.tif,0.649674,18.7232
train,10531.tif,0.530388,18.2027
train,10532.tif,0.638354,21.5673
train,10533.tif,0.592262,20.4044
train,10534.tif,0.479775,17.9913
train,10535.tif,0.524723,17.1421
train,10536.tif,0.523871,20.5189
train,10537.tif,0.533914,17.3609
train,10538.tif,0.625731,19.0468
train,10539.tif,0.503923,19.6567
train,1054.tif,0.757162,20.9222
train,10540.tif,0.614748,21.157
train,10541.tif,0.581551,20.9257
train,10542.tif,0.578453,19.3048
train,10543.tif,0.597675,20.34
train,10544.tif,0.662383,22.2724
train,10545.tif,0.821798,23.0901
train,10546.tif,0.622361,17.7898
train,10547.tif,0.520553,19.824
train,10548.tif,0.590312,20.2885
train,10549.tif,0.465992,19.7572
train,1055.tif,0.538301,19.3672
train,10550.tif,0.651141,18.8231
train,10551.tif,0.57667,19.6596
train,10552.tif,0.511448,19.6469
train,10553.tif,0.511035,19.4211
train,10554.tif,0.396927,18.1574
train,10555.tif,0.582438,19.7394
train,10556.tif,0.640968,20.2718
train,10557.tif,0.560646,20.4975
train,10558.tif,0.71947,23.5447
train,10559.tif,0.550544,18.483
train,1056.tif,0.435524,20.5582
train,10560.tif,0.656645,14.5543
train,10561.tif,0.59605,19.3269
train,10562.tif,0.633093,19.7485
train,10563.tif,0.612685,20.611
train,10564.tif,0.556334,18.9403
train,10565.tif,0.680891,20.9889
train,10566.tif,0.450793,18.474
train,10567.tif,0.647802,21.4061
train,10568.tif,0.548842,19.0922
train,10569.tif,0.621871,21.5147
train,1057.tif,0.447917,16.7967
train,10570.tif,0.740068,22.2784
train,10571.tif,0.599921,19.7878
train,10572.tif,0.639609,20.0119
train,10573.tif,0.597896,21.0053
train,10574.tif,0.490276,17.826
train,10575.tif,0.57655,20.4913
train,10576.tif,0.440894,16.4769
train,10577.tif,0.621014,23.224
train,10578.tif,0.633632,19.6938
train,10579.tif,0.550857,20.8437
train,1058.tif,0.579958,21.6018
train,10580.tif,0.567423,19.0534
train,10581.tif,0.554838,19.5221
train,10582.tif,0.553755,19.6152
train,10583.tif,0.697616,19.8241
train,10584.tif,0.591951,20.5502
train,10585.tif,0.549075,17.3552
train,10586.tif,0.617833,20.8471
train,10587.tif,0.60743,20.6941
train,10588.tif,0.615092,19.3321
train,10589.tif,0.58305,19.1511
