file,ssim,psnr,lpips
123.tif,0.627207,18.1507,0.269757
1230.tif,0.525433,21.2287,0.277714
1231.tif,0.731328,23.9099,0.273568
1232.tif,0.587861,21.6037,0.290154
1233.tif,0.619753,21.7981,0.261077
1234.tif,0.574025,19.3922,0.265306
1235.tif,0.58577,21.3379,0.334198
1236.tif,0.499465,21.2296,0.31961
1237.tif,0.42298,17.3764,0.353228
1238.tif,0.510611,22.1678,0.296487
1239.tif,0.471741,20.675,0.266662
124.tif,0.483928,20.8841,0.329547
1240.tif,0.563287,22.5622,0.286308
1241.tif,0.521777,20.9689,0.264245
1242.tif,0.574193,22.4052,0.269482
1243.tif,0.632123,22.3518,0.265569
1244.tif,0.735684,26.0887,0.255104
1245.tif,0.514777,21.4826,0.267745
1246.tif,0.513,21.7312,0.310959
1247.tif,0.602966,20.7022,0.268382
1248.tif,0.612654,21.412,0.236805
1249.tif,0.60988,23.0236,0.276625
125.tif,0.559877,20.1601,0.270891
1250.tif,0.581383,22.7413,0.267201
1251.tif,0.551323,21.0651,0.308523
1252.tif,0.588578,18.7111,0.342747
1253.tif,0.549688,20.8052,0.234443
1254.tif,0.453693,21.6671,0.270722
1255.tif,0.464025,21.564,0.242881
1256.tif,0.519898,21.4379,0.265881
1257.tif,0.496371,20.792,0.291785
1258.tif,0.539635,20.2526,0.267414
1259.tif,0.504406,20.3312,0.259691
126.tif,0.595362,19.344,0.254701
1260.tif,0.60496,22.3091,0.279822
1261.tif,0.45609,19.7848,0.310518
1262.tif,0.516889,21.4782,0.30132
1263.tif,0.542246,22.7965,0.292799
1264.tif,0.536485,20.6892,0.283154
1265.tif,0.62529,22.2972,0.29883
1266.tif,0.474858,21.0329,0.271751
1267.tif,0.663927,23.428,0.249996
1268.tif,0.590565,22.649,0.257342
1269.tif,0.528177,22.3686,0.293523
127.tif,0.66761,20.6665,0.302765
1270.tif,0.622161,22.03,0.342641
1271.tif,0.452097,20.1024,0.309602
1272.tif,0.652829,23.5991,0.247253
1273.tif,0.571739,21.7486,0.252943
1274.tif,0.625754,22.486,0.284706
1275.tif,0.661068,22.6644,0.304502
1276.tif,0.671412,22.1514,0.246372
1277.tif,0.530928,18.0992,0.299142
1278.tif,0.665148,20.2572,0.296633
1279.tif,0.483302,17.9756,0.29601
128.tif,0.607018,20.8924,0.253508
1280.tif,0.633246,20.1271,0.270686
1281.tif,0.521108,21.358,0.294877
1282.tif,0.447199,19.3613,0.316086
1283.tif,0.697406,24.7314,0.291175
1284.tif,0.52425,20.2378,0.278898
1285.tif,0.574934,21.546,0.264649
1286.tif,0.562177,21.002,0.370682
1287.tif,0.563706,23.0887,0.28391
1288.tif,0.534761,21.6746,0.271592
1289.tif,0.516229,21.4443,0.346922
129.tif,0.530659,17.5427,0.296847
1290.tif,0.58338,20.9823,0.267865
1291.tif,0.624688,21.7758,0.303762
1292.tif,0.634036,22.7066,0.26249
1293.tif,0.492916,21.2269,0.293839
1294.tif,0.485041,19.9684,0.294262
1295.tif,0.631151,22.8317,0.300515
1296.tif,0.570623,19.6982,0.291711
1297.tif,0.493802,22.384,0.267686
1298.tif,0.58432,21.6585,0.264359
1299.tif,0.469091,20.2714,0.314209
13.tif,0.553715,21.0069,0.279252
130.tif,0.739094,20.5253,0.258914
1300.tif,0.503773,22.0645,0.265881
1301.tif,0.574786,23.542,0.277849
1302.tif,0.595817,23.6391,0.265359
1303.tif,0.676523,22.5658,0.252358
1304.tif,0.569739,20.6093,0.295485
1305.tif,0.665977,21.7979,0.241036
1306.tif,0.553155,20.6975,0.286866
1307.tif,0.585933,21.1686,0.25785
1308.tif,0.496035,20.4817,0.28867
1309.tif,0.512398,20.806,0.285194
131.tif,0.532954,19.5658,0.287754
1310.tif,0.677337,23.5233,0.264399
1311.tif,0.642034,22.9473,0.283852
1312.tif,0.537099,21.6278,0.371175
1313.tif,0.540002,19.329,0.326576
1314.tif,0.526439,19.7588,0.305873
1315.tif,0.593332,20.0197,0.35223
1316.tif,0.504874,19.5433,0.278625
1317.tif,0.640599,20.6247,0.281737
1318.tif,0.633117,21.7687,0.23253
1319.tif,0.596458,24.1502,0.273921
132.tif,0.586648,20.1055,0.263114
1320.tif,0.404374,16.2426,0.323107
1321.tif,0.585695,22.4324,0.267208
1322.tif,0.486197,21.1768,0.261845
1323.tif,0.624783,22.715,0.281786
1324.tif,0.634441,22.857,0.24827
1325.tif,0.746465,24.3026,0.275585
1326.tif,0.500781,21.1289,0.251048
1327.tif,0.487243,20.8554,0.282504
1328.tif,0.501899,21.1757,0.296399
1329.tif,0.54585,20.7206,0.303716
133.tif,0.496191,20.1387,0.269696
1330.tif,0.558964,21.12,0.286693
1331.tif,0.487591,21.7801,0.308157
1332.tif,0.621054,21.2284,0.251497
1333.tif,0.588931,22.4238,0.311338
1334.tif,0.7415,23.4904,0.32418
1335.tif,0.500395,20.7539,0.246094
1336.tif,0.65527,22.4814,0.317164
1337.tif,0.494848,20.8321,0.274565
1338.tif,0.440196,19.9735,0.285888
1339.tif,0.589505,21.643,0.239484
134.tif,0.44119,19.7686,0.287742
1340.tif,0.598903,23.3655,0.257836
1341.tif,0.537306,21.5972,0.256954
1342.tif,0.522612,22.0048,0.280457
1343.tif,0.738355,22.7382,0.280417
1344.tif,0.617041,23.3009,0.300832
1345.tif,0.563496,21.6718,0.370356
1346.tif,0.660551,20.0078,0.29384
1347.tif,0.560846,21.6408,0.258635
1348.tif,0.505255,20.1106,0.291688
1349.tif,0.648906,21.9496,0.291708
135.tif,0.514094,18.2738,0.299118
1350.tif,0.540246,21.1895,0.265602
1351.tif,0.547882,22.7477,0.286765
1352.tif,0.504417,21.5526,0.287222
1353.tif,0.497025,20.4042,0.296655
1354.tif,0.517875,21.0277,0.297938
1355.tif,0.450668,19.8719,0.334705
1356.tif,0.604709,21.2314,0.282635
1357.tif,0.561977,22.0143,0.264194
1358.tif,0.539021,17.5631,0.349143
1359.tif,0.627498,22.2482,0.258898
136.tif,0.612581,19.5797,0.32047
1360.tif,0.55017,20.6108,0.265776
1361.tif,0.59296,21.0971,0.274652
1362.tif,0.476754,20.5116,0.336585
1363.tif,0.688955,22.7619,0.230222
1364.tif,0.650772,22.4066,0.264535
1365.tif,0.600766,22.1554,0.314233
1366.tif,0.564078,21.7107,0.265337
1367.tif,0.566803,22.0243,0.257854
1368.tif,0.53804,19.7731,0.302636
1369.tif,0.472744,19.3262,0.350191
137.tif,0.567277,20.6797,0.303092
1370.tif,0.514718,21.1392,0.281173
1371.tif,0.56611,23.5317,0.327101
1372.tif,0.475499,20.3191,0.314141
1373.tif,0.64913,24.7416,0.274839
1374.tif,0.642371,22.6273,0.248561
1375.tif,0.548615,21.5867,0.308292
1376.tif,0.651902,18.2843,0.324455
1377.tif,0.480763,19.6291,0.327782
1378.tif,0.549784,22.9124,0.231564
1379.tif,0.549639,23.8979,0.281019
138.tif,0.76659,21.3575,0.277305
1380.tif,0.503804,21.1534,0.231003
1381.tif,0.61016,22.0761,0.310924
1382.tif,0.596377,21.3212,0.247461
1383.tif,0.639111,21.7677,0.257987
1384.tif,0.512152,20.5549,0.278929
1385.tif,0.592199,22.85,0.267542
1386.tif,0.563344,19.2379,0.265236
1387.tif,0.580969,16.8262,0.396827
1388.tif,0.694813,23.296,0.280098
1389.tif,0.820707,23.3764,0.185553
139.tif,0.550682,20.5626,0.288852
1390.tif,0.651539,21.6148,0.284268
1391.tif,0.538025,20.8281,0.318356
1392.tif,0.504586,21.5876,0.280301
1393.tif,0.700627,21.1462,0.280203
1394.tif,0.584098,20.9679,0.296665
1395.tif,0.544341,20.8898,0.283229
1396.tif,0.494058,20.2674,0.284267
1397.tif,0.569746,21.318,0.31509
1398.tif,0.558847,20.3303,0.288053
1399.tif,0.423486,18.4688,0.326666
14.tif,0.504578,20.9601,0.281616
140.tif,0.531007,18.5153,0.262835
1400.tif,0.494172,19.6353,0.294419
1401.tif,0.524525,20.2893,0.309696
1402.tif,0.581346,22.5688,0.381566
1403.tif,0.580985,20.4533,0.317178
1404.tif,0.519792,21.3833,0.291475
1405.tif,0.532902,14.9797,0.344637
1406.tif,0.443715,20.4695,0.316924
1407.tif,0.551097,20.3859,0.290341
1408.tif,0.557936,18.9106,0.287481
1409.tif,0.417953,19.8865,0.31958
141.tif,0.705203,21.0021,0.246186
1410.tif,0.491391,18.2161,0.319041
1411.tif,0.504784,21.4224,0.276314
1412.tif,0.536674,20.7689,0.358067
1413.tif,0.61372,21.5189,0.356583
1414.tif,0.483216,21.3466,0.340518
1415.tif,0.421637,17.4509,0.332034
1416.tif,0.450952,19.8375,0.310193
1417.tif,0.5512,17.325,0.29748
1418.tif,0.58776,19.8136,0.357998
1419.tif,0.545987,21.7272,0.265976
142.tif,0.600362,17.564,0.278851
1420.tif,0.471639,19.7232,0.305932
1421.tif,0.536984,20.093,0.286373
1422.tif,0.510495,20.1636,0.304775
1423.tif,0.51886,21.2868,0.296581
1424.tif,0.552754,20.9515,0.311682
1425.tif,0.472933,20.9301,0.276187
1426.tif,0.508453,20.1929,0.319244
1427.tif,0.554197,22.7209,0.283494
1428.tif,0.580746,21.7028,0.311147
1429.tif,0.499316,21.0811,0.314989
143.tif,0.516396,21.3681,0.312557
1430.tif,0.483976,22.0921,0.298045
1431.tif,0.533467,18.6204,0.327918
1432.tif,0.58356,22.5573,0.312952
1433.tif,0.552137,21.8288,0.321374
1434.tif,0.509596,19.9999,0.296216
1435.tif,0.585555,21.5141,0.282681
1436.tif,0.576333,21.1584,0.29183
1437.tif,0.510851,20.0045,0.329466
1438.tif,0.661647,18.2387,0.344717
1439.tif,0.616208,22.3982,0.301509
144.tif,0.576709,23.128,0.266158
1440.tif,0.483891,21.0876,0.314242
1441.tif,0.451862,20.2252,0.277421
1442.tif,0.59539,22.1781,0.293435
1443.tif,0.493944,20.1849,0.272363
1444.tif,0.578017,22.2963,0.294816
1445.tif,0.532362,21.5627,0.269138
1446.tif,0.538293,19.6498,0.291206
1447.tif,0.538151,20.3189,0.299727
1448.tif,0.495457,18.1815,0.306468
1449.tif,0.501687,18.8527,0.317871
145.tif,0.62379,22.1655,0.229943
1450.tif,0.623763,21.9551,0.302156
1451.tif,0.507875,20.4544,0.267687
1452.tif,0.552005,20.5953,0.318518
1453.tif,0.503053,20.3502,0.28344
1454.tif,0.477119,22.1668,0.287676
1455.tif,0.573502,21.33,0.26748
1456.tif,0.744875,23.0307,0.315342
1457.tif,0.526508,22.3695,0.283681
1458.tif,0.572621,22.3593,0.347989
1459.tif,0.654945,23.2738,0.330766
146.tif,0.672062,22.743,0.268468
1460.tif,0.549211,18.1437,0.288473
1461.tif,0.605426,22.1284,0.276814
1462.tif,0.450489,18.9912,0.334719
1463.tif,0.499814,20.1117,0.271426
1464.tif,0.503021,21.6928,0.250391
1465.tif,0.539868,17.7519,0.294039
1466.tif,0.525118,21.8609,0.273433
1467.tif,0.710621,22.5762,0.336276
1468.tif,0.524619,20.3198,0.281114
1469.tif,0.478119,20.0249,0.260066
147.tif,0.550219,20.5908,0.253096
1470.tif,0.449057,21.2392,0.270079
1471.tif,0.602507,21.8092,0.254435
1472.tif,0.497476,20.595,0.317268
1473.tif,0.507914,20.5197,0.265028
1474.tif,0.612371,21.4029,0.255676
1475.tif,0.569811,21.9807,0.278389
1476.tif,0.623136,20.5986,0.304844
1477.tif,0.537399,22.1536,0.316756
1478.tif,0.491557,18.7134,0.279656
1479.tif,0.508675,20.232,0.296209
148.tif,0.510506,19.8484,0.263508
1480.tif,0.529345,19.2188,0.294978
1481.tif,0.617401,21.9596,0.272106
1482.tif,0.532826,19.8148,0.262415
1483.tif,0.494367,20.8514,0.275802
1484.tif,0.531215,20.504,0.283815
1485.tif,0.841102,21.5087,0.287112
1486.tif,0.534299,22.9531,0.314717
1487.tif,0.593839,22.0334,0.307966
1488.tif,0.477967,19.7036,0.312243
1489.tif,0.545959,21.8733,0.268795
149.tif,0.546536,20.0303,0.258035
1490.tif,0.462865,20.4068,0.274135
1491.tif,0.555164,21.0864,0.265413
1492.tif,0.593048,20.6436,0.265459
1493.tif,0.439553,17.3933,0.368196
1494.tif,0.545939,22.7089,0.28052
1495.tif,0.524362,19.3477,0.322749
1496.tif,0.546955,20.7169,0.254995
1497.tif,0.532252,20.246,0.27436
1498.tif,0.494186,20.3899,0.294125
1499.tif,0.756122,23.1724,0.377261
15.tif,0.541562,20.0109,0.26676
150.tif,0.598772,21.2235,0.225176
1500.tif,0.511467,19.7903,0.291268
1501.tif,0.613958,20.966,0.300061
1502.tif,0.562605,21.3328,0.351001
1503.tif,0.560195,22.7917,0.268356
1504.tif,0.533043,19.8948,0.298641
1505.tif,0.46279,20.0358,0.323178
1506.tif,0.495535,20.3158,0.285723
1507.tif,0.48988,20.4836,0.289233
1508.tif,0.519077,22.2375,0.273105
1509.tif,0.61466,21.7746,0.321902
151.tif,0.641601,21.3905,0.265309
1510.tif,0.503472,21.319,0.306424
1511.tif,0.536929,22.1357,0.304507
1512.tif,0.519189,19.6223,0.303507
1513.tif,0.592941,20.6176,0.271928
1514.tif,0.742688,24.1104,0.334031
1515.tif,0.530197,20.6816,0.277697
1516.tif,0.400285,18.3164,0.365531
1517.tif,0.521464,20.1317,0.319699
1518.tif,0.491571,20.0429,0.269487
