split,file,ssim,psnr,lpips
train,10170.tif,0.548192,22.0855,0.332721
train,10171.tif,0.494184,19.2181,0.359779
train,10172.tif,0.519022,21.1955,0.37256
train,10173.tif,0.627841,22.9138,0.270486
train,10174.tif,0.725578,24.5027,0.229314
train,10175.tif,0.613816,21.4443,0.299213
train,10176.tif,0.635775,23.0179,0.289711
train,10177.tif,0.623259,23.1796,0.223536
train,10178.tif,0.619775,21.9074,0.272273
train,10179.tif,0.537747,19.9885,0.314453
train,1018.tif,0.588712,23.1874,0.307524
train,10180.tif,0.566231,23.1792,0.296238
train,10181.tif,0.7348,23.0562,0.256285
train,10182.tif,0.616074,23.1247,0.252689
train,10183.tif,0.50176,20.5923,0.30812
train,10184.tif,0.545808,20.9197,0.285864
train,10185.tif,0.51856,21.2737,0.300867
train,10186.tif,0.656248,23.0554,0.282994
train,10187.tif,0.541054,22.0541,0.270401
train,10188.tif,0.633979,23.3343,0.257704
train,10189.tif,0.578546,21.1413,0.34016
train,1019.tif,0.624617,20.104,0.266246
train,10190.tif,0.508062,21.9029,0.306318
train,10191.tif,0.835292,26.5711,0.189234
train,10192.tif,0.58331,21.3629,0.313722
train,10193.tif,0.858235,26.6113,0.17738
train,10194.tif,0.642287,21.6247,0.342841
train,10195.tif,0.602842,23.0083,0.355011
train,10196.tif,0.747647,21.933,0.176584
train,10197.tif,0.650701,23.2588,0.305343
train,10198.tif,0.591514,20.8748,0.285965
train,10199.tif,0.565064,21.5852,0.268383
train,102.tif,0.65075,21.5963,0.284977
train,1020.tif,0.558578,21.5695,0.334816
train,10200.tif,0.55826,22.5365,0.303375
train,10201.tif,0.591389,23.6542,0.303964
train,10202.tif,0.564718,21.7133,0.320717
train,10203.tif,0.562497,22.0195,0.27449
train,10204.tif,0.702717,24.3397,0.229046
train,10205.tif,0.795033,25.099,0.178421
train,10206.tif,0.537043,19.781,0.392704
train,10207.tif,0.619299,22.5199,0.243505
train,10208.tif,0.620552,22.5612,0.253621
train,10209.tif,0.673346,22.9682,0.214964
train,1021.tif,0.508338,20.8433,0.276948
train,10210.tif,0.671117,21.9079,0.274303
train,10211.tif,0.526434,22.1654,0.286024
train,10212.tif,0.584301,22.1528,0.325415
train,10213.tif,0.778433,23.9722,0.212786
train,10214.tif,0.64998,22.8291,0.269564
train,10215.tif,0.577541,21.9856,0.30874
train,10216.tif,0.661255,23.4476,0.308943
train,10217.tif,0.619464,21.3921,0.2551
train,10218.tif,0.585896,21.5603,0.318208
train,10219.tif,0.66901,23.4398,0.22089
train,1022.tif,0.542989,21.5445,0.279718
train,10220.tif,0.486909,18.1648,0.294228
train,10221.tif,0.520576,20.1835,0.276908
